"Nome Classe";"Manuale";"Abilità Iniziali";"Abilità Unica";"Stat. Abilità Unica";"Descrizione Abilità Unica";"Albero 1: Nome";"Albero 1: Abilità 1";"Albero 1: Abilità 2";"Albero 1: Abilità 3";"Albero 2: Nome";"Albero 2: Abilità 1";"Albero 2: Abilità 2";"Albero 2: Abilità 3";"Albero 3: Nome";"Albero 3: Abilità 1";"Albero 3: Abilità 2";"Albero 3: Abilità 3";"Abilità di Professione";"Descrizione/Note"
"Armigero";"MB 40";"Duro come una Roccia (Abilità Esclusiva)
Accortezza
Archi oppure Balestre oppure Armi in Asta
Atletica
Coraggio
Eludere
Mischia
Prestanza
Scherma
Sopravvivenza
Tempra";"Duro come una Roccia";"BODY";"Quando un Armigero scende a 0 PS o meno, può effettuare un tiro di Duro come una Roccia (FIS) con CD pari ai PS negativi x2. In caso di successo, può continuare a combattere senza le penalità di Moribondo (come se fosse solo alla Soglia di Ferite) fino al termine dello scontro o finché non fallisce un nuovo tiro.";"Il Tiratore";"Gittata Superiore (DEX)";"Tiro Doppio (DEX)";"Mira Precisa (DEX)";"Il Cacciatore di Taglie";"Segugio (INT)";"Tranelli (CRA)";"Accortezza Tattica (INT)";"Il Massacratore";"Furia (WILL)";"Zweihand (BODY)";"Irriducibile (BODY)";"5 Abilità di Combattimento a scelta (Archi, Armi in Asta, Atletica, Balestre, Cavalcare, Lame Corte, Mischia, Rissa, Scherma, Tattica), Sopravvivenza, Coraggio, Prestanza, Intimidire, Eludere";"I soldati pensano secondo la tattica. Sanno quando colpire, quando indietreggiare, quando caricare e quando tenere la posizione. I veri armigeri sono soldati incalliti che non rinunciano o si arrendono mai. Un armigero vive di combattimenti e respira conflitti."
"Artigiano";"MB 41";"Riparare (Abilità Esclusiva)
Alchimia
Atletica
Belle Arti
Commercio
Istruzione
Manifattura
Persuasione
Prestanza
Scaltrezza
Tempra";"Riparare";"INT";"Un Artigiano sa come riparare un'arma o un'armatura quanto basta perché torni utilizzabile. Con una prova di Riparare (INT) contrapposta alla CD di Manifattura -3, può riportare scudi/armature a ½ della PR o armi a ½ della Robustezza (infliggendo metà danno). Gli oggetti possono essere riparati così solo una volta.";"Il Mastro di Forgia";"Ampio Catalogo (INT)";"Qualificato (CRA)";"Mastro Artigiano (CRA)";"L'Alchimista";"Farmacia Mentale (INT)";"Doppia Dose (CRA)";"Assuefazione (CRA)";"Il Perfezionatore";"Miglioramento (CRA)";"Rivestimento d'Argento (CRA)";"Localizzare (INT)";"Manifattura, Commercio, Atletica, Tempra, Prestanza, Scaltrezza, Belle Arti, Alchimia, Istruzione, Persuasione";"L'artigiano è probabilmente la seconda professione più comune. Mastri, li chiamano alcuni. Possono essere fabbri capaci di forgiare armi leggendarie o alchimisti esperti in bombe e misture letali. Un buon artigiano sa riparare un oggetto spezzato quanto basta perché torni a far combattere chi lo utilizza."
"Bardo";"MB 42";"Cosmopolita (Abilità Esclusiva)
Carisma
Commercio
Gioco d’Azzardo
Istruzione
Lame Corte
Linguaggio (scelta 1)
Linguaggio (scelta 2)
Persuasione
Resistere a Coercizione
Scaltrezza
Sensibilità
(Nota: per il Bardo i Linguaggi contano come due slot separati per arrivare a 11)";"Artista di Strada";"EMP";"Un Bardo può impiegare un'ora ed effettuare una prova di Artista di Strada (EMP) nel più vicino centro cittadino per racimolare denaro. Il risultato del tiro è il totale di Corone guadagnate. Un disastro può portare a un totale negativo, causando insulti dalla folla e un -2 al Carisma verso gli abitanti del luogo fino al giorno dopo.";"L'Ammaliatore";"Grande Ritorno (EMP)";"Attrarre la Folla (EMP)";"Buon Amico (EMP)";"L'Informatore";"Confondersi (INT)";"Diffondere la Parola (INT)";"Adattarsi (INT)";"Il Manipolatore";"Avvelenare il Pozzo (EMP)";"Pungolare (EMP)";"Tu Quoque Brute (EMP)";"Carisma, Inganno, Esibirsi, Linguaggio (1 a scelta), Sensibilità, Persuasione, Scaltrezza, Belle Arti, Seduzione, Etichetta";"Non si sa mai cosa aspettarsi da un bardo. Possono essere poeti erranti che cantano di eroi e leggende, o scaltre spie che manipolano le folle e le menti per ottenere segreti. Il loro talento nel trafficare con la testa della gente è pari solo alla loro abilità nel raccontare storie."
"Criminale";"MB 43";"Paranoia Salubre (Abilità Esclusiva)
Accortezza
Atletica
Eludere
Falsificare
Intimidire
Lame Corte
Nascondersi
Rapidità di Mano
Scaltrezza
Scassinare";"Paranoico Esperto";"INT";"Tutti i criminali soffrono di una sana paranoia che li tiene fuori dai guai. Quando arriva entro 10m da una trappola o un'imboscata, il Criminale può effettuare un tiro di Paranoico Esperto (INT) contrapposto alla CD della trappola o al tiro di Nascondersi dei nemici. Anche se fallisce, percepisce comunque che qualcosa non va.";"Il Ladro";"Tastare l'Area (INT)";"Chiave Mentale (INT)";"Stare Basso (INT)";"Il Capobanda";"Punto Debole (EMP)";"Marchiato (WILL)";"Adunare (WILL)";"L'Assassino";"Mira Accurata (DEX)";"Occhio Cavato (DEX)";"Colpo dell'Assassino (DEX)";"Rapidità di Mano, Scassinare, Scaltrezza, Falsificare, Inganno, Nascondersi, Intimidire, Lame Corte, Atletica, Accortezza";"Dagli scassinatori professionisti agli assassini occasionali, i criminali sanno come muoversi nell'ombra. Sono esperti nel trovare punti deboli, scassinare serrature impossibili e sparire nel nulla quando le cose si mettono male. Per un criminale, farsi beccare significa la fine."
"Druido";"TC 69";"Rito della Quercia e del Vischio (Abilità Esclusiva)
Sopravvivenza
Accortezza
Sensibilità
Istruzione
Alchimia
Officiare Rituali
Lanciare Incantesimi
Pronto Soccorso
Belle Arti
Armi in Asta";"Rito della Quercia e del Vischio";"INT";"Un Druido può tirare Rito della Quercia e del Vischio (INT) per interpretare il comportamento animale, prevedere il meteo (fino a 1d6 giorni) o identificare zone contaminate ecologicamente o magiche. Se ha successo, ottiene informazioni precise sulla salute della natura circostante.";"Iniziato";"Sintonia con la Natura (BODY)";"Leggere la Natura (INT)";"Patto Animale (WILL)";"Saggio";"Custode del Sapere (INT)";"Sangue e Ossa (WILL)";"Forma Bestiale (WILL)";"Militante";"Guaritore di Bestie (EMP)";"Bosco Sacro (WILL)";"Guardiano del Bosco (WILL)";"Sopravvivenza, Accortezza, Sensibilità, Istruzione, Alchimia, Officiare Rituali, Lanciare Incantesimi, Pronto Soccorso, Belle Arti, Armi in Asta";"I druidi vivono in armonia con la natura e ne proteggono l'equilibrio sacro. Diversi dai maghi e dai preti, attingono la loro magia dalla terra stessa e dagli spiriti dei boschi. Sono i custodi dei circoli sacri, capaci di parlare agli animali, mutare forma e scatenare le forze della natura contro i trasgressori."
"Mago";"MB 44";"Arte del Mago (Abilità Esclusiva)
Accortezza
Istruzione
Insegnamento
Intessere Fatture
Lanciare Incantesimi
Officiare Rituali
Persuasione
Resistere alla Magia
Seduzione
Sensibilità";"Arte del Mago";"INT";"Un Mago può tirare Arte del Mago (INT) ogni volta che incontra un fenomeno magico, un incantesimo sconosciuto o per rispondere a domande teoriche sulla magia. Con un successo, comprende tutto ciò che è possibile sul fenomeno. Può essere usato al posto di Accortezza per individuare effetti magici attivi o spettri.";"Il Politico";"Intrigo (INT)";"Malelingue (INT)";"Risorse (INT)";"Lo Scienziato";"Ingegneria Inversa (INT)";"Distillazione (CRA)";"Mutare (INT)";"L'Arcimago";"Sintonia (WILL)";"Immutabile (WILL)";"Magia Ampliata (WILL)";"Lanciare Incantesimi, Intessere Fatture, Officiare Rituali, Resistere alla Magia, Armi in Asta, Istruzione, Etichetta, Sensibilità, Seduzione, Eleganza";"I maghi sono i potenti condotti del Caos Primevo. Nelle accademie imparano a usare la magia per far progredire la scienza e migliorare la vita, ma spesso finiscono per diventare influenti consiglieri reali o pericolosi manipolatori politici. La loro conoscenza arcana permette loro di compiere miracoli e mutazioni impossibili per i comuni mortali."
"Medico";"MB 45";"Mani Guaritrici (Abilità Esclusiva)
Accortezza
Alchimia
Commercio
Coraggio
Deduzione
Istruzione
Lame Corte
Persuasione
Pronto Soccorso
Resistere a Coercizione";"Mani Guaritrici";"CRA";"Un Medico possiede una preparazione che gli permette di eseguire complesse operazioni chirurgiche. Solo un Medico con Mani Guaritrici (CRA) è in grado di curare una Ferita Critica (con un numero di tiri e CD basati sulla gravità). Può essere utilizzata anche al posto di Pronto Soccorso.";"Il Chirurgo";"Diagnosi (INT)";"Analisi (INT)";"Chirurgia Efficace (CRA)";"L'Erborista";"Tenda Sanatorio (CRA)";"Improvvisare (INT)";"Rimedio Erboristico (CRA)";"L'Anatomista";"Ferita Sanguinante (INT)";"Macello Pratico (INT)";"Menomare (INT)";"Resistere a Coercizione, Carisma, Etichetta, Coraggio, Sensibilità, Sopravvivenza, Commercio, Deduzione, Lame Corte, Alchimia";"In un mondo dilaniato dalla guerra e dai mostri, il medico è una figura essenziale. Dagli accademici di Oxenfurt ai medici da campo, queste figure conoscono i segreti del corpo umano. Sanno come riportare indietro chi ha già un piede nella fossa, ma anche come usare la loro conoscenza anatomica per infliggere ferite debilitanti."
"Mercante";"MB 46";"Ben Ammanigliato (Abilità Esclusiva)
Accortezza
Cavalcare oppure Navigazione
Commercio
Etichetta
Gioco d'Azzardo
Istruzione
Linguaggio
Persuasione
Resistere a Coercizione
Scaltrezza";"Cosmopolita";"INT";"Un Mercante può tirare Cosmopolita (INT) ogni volta che vuole conoscere un fatto su un oggetto specifico, una cultura o un'area. Se ha successo, trova la risposta ricordando un aneddoto del suo ultimo viaggio nella zona.";"Il Sensale";"Opzioni (INT)";"Cattivo Affare (EMP)";"Promessa (EMP)";"Il Contatto";"Uccellini (EMP)";"Informatore (INT)";"Mappa del Tesoro (INT)";"Lo Havekar";"Ammanicato (WILL)";"Ricettazione (INT)";"Debito del Guerriero (EMP)";"Carisma, Lame Corte, Istruzione, Linguaggio (2 a scelta), Scaltrezza, Commercio, Persuasione, Sensibilità, Gioco d'Azzardo, Resistere a Coercizione";"I mercanti portano alla gente ciò di cui ha bisogno, che si tratti di spade redaniane a Metinna o di avorio zerrikaniano nei Reami Settentrionali. Hanno contatti ovunque, sanno come fare affari scandalosi e riconoscono il potere del denaro. Un bravo mercante campa con i suoi contatti, le sue conoscenze e le sue merci."
"Prete";"TC 51";"Iniziato degli Dei (Abilità Esclusiva)
Autorità
Carisma
Coraggio
Insegnamento
Intessere Fatture
Lanciare Incantesimi
Officiare Rituali
Pronto Soccorso
Sensibilità
Sopravvivenza";"Iniziato degli Dei";"EMP";"Un Prete può tirare Iniziato degli Dei (EMP) per ricevere alloggio gratuito, cure o servizi presso un santuario del proprio culto (o di culti alleati). Può essere usato anche per trattare con membri della stessa fede. La CD è stabilita dal GM in base alla disponibilità del santuario.";"Cultista";"Mistagogo (EMP)";"Misteri del Culto (WILL)";"Benedizioni (WILL)";"Predicatore";"Potere Divino (WILL)";"Sovranità Divina (EMP)";"Preveggenza (WILL)";"Fanatico";"Rituali di Sangue (WILL)";"Fervore (EMP)";"Parola di Dio (EMP)";"Autorità, Carisma, Coraggio, Insegnamento, Intessere Fatture, Lanciare Incantesimi, Officiare Rituali, Pronto Soccorso, Sensibilità, Sopravvivenza";"Preti e druidi sono due mondi separati. I preti traggono il loro potere dalla fede incrollabile in una divinità, in se stessi o nel loro messaggio. Dai predicatori di piazza ai cultisti segreti, fino ai fanatici pronti a scatenare inquisizioni, la loro magia è un dono divino che guida e protegge i fedeli."
"Villico";"NP";"Intolleranza (Abilità Esclusiva)
Atletica
Coraggio
Gioco d'Azzardo
Lame Corte
Manifattura
Prestanza
Pronto Soccorso
Rissa
Sopravvivenza
Tempra";"Intolleranza";"EMP";"Il Villico è abituato a sopportare le difficoltà, la fatica e i torti del mondo. Quando è sottoposto a prove di resistenza o affronta disagi fisici (come fame, freddo, o lavori massacranti), può utilizzare Intolleranza al posto di Tempra. Inoltre, quando il Villico subisce un torto evidente da parte di figure di autorità o classi sociali superiori, ottiene un bonus +2 a resistere alla coercizione mentale o all'intimidazione.";"N/A (Nessun percorso)";"";"";"";"N/A (Nessun percorso)";"";"";"";"N/A (Nessun percorso)";"";"";"";"Atletica, Coraggio, Gioco d'Azzardo, Lame Corte, Manifattura, Prestanza, Pronto Soccorso, Rissa, Sopravvivenza, Tempra";"La spina dorsale del Continente. Esperto di agricoltura, vita rurale e resilienza contro le avversità."
"Witcher";"MB 48";"Arte del Witcher (Abilità Esclusiva)
Accortezza
Alchimia
Atletica
Cavalcare
Deduzione
Eludere
Lanciare Incantesimi
Nascondersi
Scherma
Sopravvivenza";"Arte del Witcher";"INT";"Un Witcher trascorre la vita studiando mostri e addestrandosi. Quando si trova in un ambiente ostile o terreno accidentato, può diminuire le penalità di metà del proprio valore di Arte del Witcher (INT). Può essere utilizzata anche al posto dell'abilità Bestiario.";"Il Guerriero Magico";"Meditazione (WILL)";"Fonte Magica (WILL)";"Eliotropo (WILL)";"Il Mutante";"Stomaco di Ferro (BODY)";"Frenesia (WILL)";"Trasmutazione (BODY)";"Lo Sterminatore";"Parare Frecce (DEX)";"Colpo Repentino (REF)";"Turbine (REF)";"Scherma, Armi in Asta, Lame Corte, Atletica, Accortezza, Sopravvivenza, Alchimia, Resistere alla Magia, Tempra, Intimidire";"I witcher sono mutanti creati per un solo scopo: uccidere mostri. Sottoposti a prove e mutazioni atroci fin da bambini, hanno acquisito sensi sovraumani e la capacità di usare i Segni. Freddi e risoluti, sono i guardiani dell'umanità contro le creature del Caos, anche se per questo sono spesso odiati e temuti dai comuni mortali."
