Tiro,Tragedia
1,L'amore del personaggio è stato catturato dai banditi qualche tempo fa ed è ancora prigioniero.
2,L'amore del personaggio è scomparso misteriosamente e non vi sono indizi su dove sia.
3,L'amore del personaggio è stato imprigionato o esiliato per crimini che potrebbe aver commesso oppure no.
4,Una potente maledizione ha separato il personaggio dal suo amore.
5,Qualcuno si è intromesso tra il personaggio e il suo amore ed è stato costretto a ucciderlo.
6,L'amore del personaggio si è suicidato. Non è detto che il personaggio ne conosca il motivo.
7,L'amore del personaggio è stato rapito da un nobile che ne ha fatto la sua concubina.
8,Un rivale ha messo fuori gioco il personaggio e gli ha rubato l'affetto del suo amore.
9,L'amore del personaggio è rimasto ucciso dai mostri. Potrebbe essere stato un incidente o premeditato.
10,"L'amore del personaggio è un mago, un witcher o un mostro senziente, la relazione è destinata a finire male."
