Tiro,Origini Nilfgaardiane
1,"È stata imprigionata per crimini contro l'Impero, a causa di accuse false. Solo il personaggio è scampato."
2,È stata esiliata nel Deserto di Korath e il personaggio ha passato gran parte della sua vita a cercare di sopravvivere in quell'ambiente mortale.
3,"È stata uccisa da un mago vagabondo in cerca di vendetta o semplicemente assetato di sangue. In ogni caso, il personaggio è solo al mondo."
4,È scomparsa e non ha idea di dove sia. Un giorno sono semplicemente svaniti.
5,È stata giustiziata con l'accusa di tradimento contro l'Impero. Il personaggio è stato l'unico a sfuggire a questa sorte.
6,È stata privata del suo titolo per qualche ragione. Hanno dovuto lasciare la loro casa e arrangiarsi per campare in mezzo alla feccia.
7,"Il nome della famiglia è stato infangato da un parente con doti magiche che ha sfoggiato malamente il suo dono, come un mago settentrionale."
8,Il personaggio ha screditato la sua famiglia agli occhi dell'Impero. Ha detto o fatto qualcosa che ha rovinato la sua reputazione e danneggiato la famiglia.
9,"Cela un terribile segreto che, se venisse alla luce, potrebbe distruggerla insieme al suo buon nome. Il personaggio deve proteggere questo segreto a costo della vita."
10,"È stata assassinata. Forse intralciava i piani di qualcuno, oppure è stata usata per arrivare a qualcuno più in alto. In ogni caso, la sua famiglia non esiste più."
