Tiro,Origini Terre Antiche
1,È stata bollata come simpatizzante degli umani e non è ben vista nella sua terra natale.
2,È stata ostracizzata per le sue opinioni e ora la gente non rivolge più la parola al personaggio o ai suoi parenti.
3,È morta nelle Guerre Settentrionali. Potrebbero aver combattuto o essere semplici vittime del passaggio della guerra.
4,"È invischiata in una faida da generazioni. Forse il personaggio non ricorda perché sia iniziata, ma è una tragedia."
5,È stata privata del suo titolo per qualche ragione. Hanno dovuto abbandonare la loro casa e arrangiarsi per campare.
6,"Quando il personaggio era piccolo, la sua famiglia ha iniziato a razziare gli insediamenti umani, per procurarsi il cibo o per rivalsa."
7,La casa di famiglia è infestata. Probabilmente perché è stata teatro di innumerevoli morti nel corso della guerra contro gli umani.
8,"È stata divisa da un parente acquisito umano, che ne ha sposato un fratello o un parente. Ad alcuni membri piace, altri lo odiano."
9,"È stata uccisa da degli umani, che li ritenevano degli Scoia'tael. Forse sono stati massacrati o impiccati senza prove o un processo."
10,Discende da un famigerato traditore. Questo rovina i rapporti con gli altri membri delle razze antiche e ha reso difficile vivere nelle loro terre ancestrali.
