Tiro,Problema
1,La famiglia o gli amici dell'amore del personaggio lo odiano e non accettano la loro relazione.
2,L'amore del personaggio si guadagna da vivere come puttana e rifiuta di lasciare il suo lavoro.
3,"L'amore del personaggio soffre di una maledizione minore, come paranoia o incubi orribili."
4,L'amore del personaggio va a letto con più persone e si rifiuta di smettere sebbene sia stata scoperta.
5,L'amore del personaggio è follemente geloso e non sopporta di vederlo con qualsiasi possibile rivale.
6,La coppia litiga in continuazione e niente può farli smettere a lungo. Tra i due finisce sempre a insulti.
7,I due hanno qualche genere di rivalità professionale. Spesso si soffiano i clienti.
8,La differenza razziale rende difficile la vita del personaggio e del suo amore.
9,L'amore del personaggio è già sposato. Potrebbe voler abbandonare il coniuge oppure no.
10,La famiglia o gli amici del personaggio odiano il suo amore e non accettano la loro relazione.
