source_pack,source_file,source_entry,source_id,source_type,target_pack,target_entry,target_id,link_type,confidence,evidence,asset_path,asset_exists,notes
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,aconito_52dae8c18c5ae10f.json,Aconito,52dae8c18c5ae10f,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/aconito.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,acqua_ducale_518ca088549a6cb3.json,Acqua Ducale,518ca088549a6cb3,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/acqua_ducale.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,aiuto_dell_investigatore_6826b81513b34670.json,Aiuto dell'Investigatore,6826b81513b34670,valuable,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/aiuto_dell_investigatore.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,allucinogeno_a0ab73529a76e3be.json,Allucinogeno,a0ab73529a76e3be,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/allucinogeno.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,aloe_del_lupo_8b6fae5f43fe90c6.json,Aloe del Lupo,8b6fae5f43fe90c6,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/aloe_del_lupo.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,amico_dell_avvelenatore_8e0f7b69e906a7fa.json,Amico dell'Avvelenatore,8e0f7b69e906a7fa,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/amico_dell_avvelenatore.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,artiglio_di_ghoul_beca058e3488a1c3.json,Artiglio di Ghoul,beca058e3488a1c3,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/artiglio_di_ghoul.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,artiglio_di_ghoul_beca058e3488a1c3.json,Artiglio di Ghoul,beca058e3488a1c3,component,BESTIARIO/witcher-monsters,Ghoul,12a2486818104394,cross_reference,medium,"Text mention snippet: ""...Rarità: R | Ubicazione: Ghoul...""",,,Identified via contextual text match
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,artiglio_di_nekker_c8e4c863189a8136.json,Artiglio di Nekker,c8e4c863189a8136,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/artiglio_di_nekker.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,artiglio_di_nekker_c8e4c863189a8136.json,Artiglio di Nekker,c8e4c863189a8136,component,BESTIARIO/witcher-monsters,Nekker,0d0ad6b62ee84666,cross_reference,medium,"Text mention snippet: ""...glio affilato e ricurvo di un nekker. Rarità: S | Ubicazione:...""",,,Identified via contextual text match
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,brionia_7dfa6daef06adc1c.json,Brionia,7dfa6daef06adc1c,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/brionia.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,calcium_equum_31680d765216a4af.json,Calcium Equum,31680d765216a4af,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/calcium_equum.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,caprifoglio_823eaf1cd8d9c2c4.json,Caprifoglio,823eaf1cd8d9c2c4,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/caprifoglio.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,celidonia_dd6a098153c90d21.json,Celidonia,dd6a098153c90d21,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/celidonia.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,cervello_di_drowner_36702571899a51d8.json,Cervello di drowner,36702571899a51d8,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/cervello_di_drowner.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,cervello_di_drowner_36702571899a51d8.json,Cervello di drowner,36702571899a51d8,component,BESTIARIO/witcher-monsters,Drowner,9597d81f6d124efa,cross_reference,medium,"Text mention snippet: ""...Rarità: S | Ubicazione: Drowner...""",,,Identified via contextual text match
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,chitina_6eafeb60d0901c64.json,Chitina,6eafeb60d0901c64,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/chitina.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,chitina_6eafeb60d0901c64.json,Chitina,6eafeb60d0901c64,component,BESTIARIO/witcher-monsters,Arachas,121e9ba4fc214734,cross_reference,medium,"Text mention snippet: ""...Rarità: R | Ubicazione: Arachas...""",,,Identified via contextual text match
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,cloroformio_cc2473566a52a29e.json,Cloroformio,cc2473566a52a29e,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/cloroformio.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,colla_502bd38183f24f6a.json,Colla,502bd38183f24f6a,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/colla.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,colla_alchemica_a326940a6776f35c.json,Colla Alchemica,a326940a6776f35c,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/colla_alchemica.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,corde_vocali_di_sirena_772c6d7f83da016e.json,Corde Vocali di Sirena,772c6d7f83da016e,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/corde_vocali_di_sirena.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,corde_vocali_di_sirena_772c6d7f83da016e.json,Corde Vocali di Sirena,772c6d7f83da016e,component,BESTIARIO/witcher-monsters,Sirene,d56af36cf7084deb,cross_reference,medium,"Text mention snippet: ""...Rarità: R | Ubicazione: Sirene...""",,,Identified via contextual text match
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,cortinarius_2f1629feabb48338.json,Cortinarius,2f1629feabb48338,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/cortinarius.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,cuore_di_golem_d3682933381fbde1.json,Cuore di Golem,d3682933381fbde1,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/cuore_di_golem.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,cuore_di_golem_d3682933381fbde1.json,Cuore di Golem,d3682933381fbde1,component,BESTIARIO/witcher-monsters,Golem,3733a2e542bc4422,cross_reference,medium,"Text mention snippet: ""...Rarità: R | Ubicazione: Golem...""",,,Identified via contextual text match
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,cuore_di_nekker_29bcd32cdc4b40f8.json,Cuore di Nekker,29bcd32cdc4b40f8,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/cuore_di_nekker.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,cuore_di_nekker_29bcd32cdc4b40f8.json,Cuore di Nekker,29bcd32cdc4b40f8,component,BESTIARIO/witcher-monsters,Nekker,0d0ad6b62ee84666,cross_reference,medium,"Text mention snippet: ""...Rarità: S | Ubicazione: Nekker...""",,,Identified via contextual text match
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,denti_di_nekker_2630768afd7a0d12.json,Denti di Nekker,2630768afd7a0d12,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/denti_di_nekker.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,denti_di_nekker_2630768afd7a0d12.json,Denti di Nekker,2630768afd7a0d12,component,BESTIARIO/witcher-monsters,Nekker,0d0ad6b62ee84666,cross_reference,medium,"Text mention snippet: ""...e ma taglienti estratte da un nekker. Rarità: S | Ubicazione:...""",,,Identified via contextual text match
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,denti_di_strega_47a76d64308d0556.json,Denti di Strega,47a76d64308d0556,component,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/denti_di_strega.webp,true,
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,denti_di_strega_47a76d64308d0556.json,Denti di Strega,47a76d64308d0556,component,BESTIARIO/witcher-monsters,Streghe dei Sepolcri,260905ff0083427c,cross_reference,medium,"Text mention snippet: ""...Rarità: R | Ubicazione: Streghe dei sepolcri...""",,,Identified via contextual text match
ALCHIMIA_E_ARTIGIANATO/witcher-alchemy,elisir_adrenalinico_e95ac0d602ebf7e8.json,Elisir Adrenalinico,e95ac0d602ebf7e8,valuable,,,,image_link,high,img field,modules/witcher-compendium/assets/ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/elisir_adrenalinico.webp,true,
