Tiro,Origini Settentrionali
1,Si è dispersa durante la guerra e il personaggio non ha idea di dove trovare la maggior parte dei suoi parenti.
2,È stata imprigionata per crimini o accuse false. Il personaggio è stato l'unico a fuggire. Vuole liberarli... o forse no.
3,"La casa di famiglia è stata maledetta, i campi non producono più grano o spettri infestano le stanze. Per il personaggio è troppo pericoloso restarvi."
4,"Con così tante guerre, i beni di famiglia sono andati persi. I suoi parenti si sono dati al crimine per sopravvivere."
5,Ha accumulato un enorme debito giocando d'azzardo o per favori richiesti a terzi. Il personaggio ha un disperato bisogno di denaro.
6,Ha una faida in corso con un'altra famiglia. Il personaggio non ricorda nemmeno come sia cominciata la rivalità.
7,A causa di qualche azione - o mancanza - la famiglia del personaggio ora è odiata nella sua città natale e nessuno vuole avere a che fare con loro.
8,Un giorno tutti gli averi della famiglia sono stati razziati da dei banditi. La famiglia è stata massacrata e il personaggio è rimasto solo al mondo.
9,"Cela un terribile segreto che, se venisse alla luce, rovinerebbe lui e tutti gli altri per sempre. Il giocatore può decidere quale sia il segreto, o farlo decidere al Game Master."
10,I membri della famiglia si disprezzano fra loro. Nessuno dei parenti con cui il personaggio è cresciuto è rimasto in buoni rapporti ed è già tanto se i suoi fratelli lo salutano.
